 h bar =  0.492508228253105     
 TE -error=   -81875.4355468750        5928827366379.25     
 Volume Error=   7.256630851770751E-002   16.5018263942329     
 TE -error=   -82949.7568359375        5928827365304.93     
 Volume Error=   7.445635219482938E-002   16.5037164379100     
 TE -error=   -84015.9501953125        5928827364238.74     
 Volume Error=   7.283347258635331E-002   16.5020935583016     
 TE -error=   -85072.6855468750        5928827363182.00     
 Volume Error=   7.379128419415792E-002   16.5030513699094     
 TE -error=   -86113.2539062500        5928827362141.44     
 Volume Error=   7.634355370100820E-002   16.5056036394162     
 TE -error=   -87172.8398437500        5928827361081.85     
 Volume Error=   7.196661044872599E-002   16.5012266961639     
 TE -error=   -88284.1308593750        5928827359970.56     
 Volume Error=   7.424745263051591E-002   16.5035075383457     
 TE -error=   -89336.3632812500        5928827358918.33     
 Volume Error=   7.360227982644574E-002   16.5028623655417     
 TE -error=   -90415.9804687500        5928827357838.71     
 Volume Error=   7.235030352603644E-002   16.5016103892413     
 TE -error=   -91447.3105468750        5928827356807.38     
 Volume Error=   7.236167220980860E-002   16.5016217579250     
 TE -error=   -92461.6318359375        5928827355793.06     
 Volume Error=   7.135270152502926E-002   16.5006127872402     
 TE -error=   -93457.4140625000        5928827354797.28     
 Volume Error=   7.503331289626658E-002   16.5042933986115     
 TE -error=   -94414.0566406250        5928827353840.63     
 Volume Error=   7.213714070530841E-002   16.5013972264205     
 TE -error=   -95368.2167968750        5928827352886.47     
 Volume Error=   7.476330665667774E-002   16.5040233923719     
 TE -error=   -96334.8095703125        5928827351919.88     
 Volume Error=   7.384528544207569E-002   16.5031053711573     
 TE -error=   -97293.6503906250        5928827350961.04     
 Volume Error=   7.296137027879013E-002   16.5022214559940     
 TE -error=   -98206.4384765625        5928827350048.25     
 Volume Error=   7.237304089358076E-002   16.5016331266088     
 TE -error=   -99147.7001953125        5928827349106.99     
 Volume Error=   7.452456429746235E-002   16.5037846500127     
 TE -error=   -100038.584960938        5928827348216.10     
 Volume Error=   7.461409268216812E-002   16.5038741783974     
 TE -error=   -100876.956054688        5928827347377.73     
 Volume Error=   7.634497478647972E-002   16.5056050605017     
 TE -error=   -101765.427734375        5928827346489.26     
 Volume Error=   7.244409516715677E-002   16.5017041808824     
 TE -error=   -102568.221679688        5928827345686.47     
 Volume Error=   7.472937824104520E-002   16.5039894639563     
 TE -error=   -103329.593750000        5928827344925.10     
 Volume Error=   7.640128529828871E-002   16.5056613710135     
 TE -error=   -104067.875976562        5928827344186.81     
 Volume Error=   7.304628013571346E-002   16.5023063658509     
 TE -error=   -104742.137695312        5928827343512.55     
 Volume Error=   7.543250468700080E-002   16.5046925904022     
 TE -error=   -105318.450195312        5928827342936.24     
 Volume Error=   7.326543816077447E-002   16.5025255238760     
 TE -error=   -105896.256835938        5928827342358.43     
 Volume Error=   7.387113143408897E-002   16.5031312171493     
 TE -error=   -106397.676757812        5928827341857.01     
 Volume Error=   7.412310765175789E-002   16.5033831933670     
 TE -error=   -106898.595703125        5928827341356.09     
 Volume Error=   7.565219561911363E-002   16.5049122813343     
 TE -error=   -107331.698242188        5928827340922.99     
 Volume Error=   7.281144576154475E-002   16.5020715314768     
 TE -error=   -107708.489257812        5928827340546.20     
 Volume Error=   7.287788150733832E-002   16.5021379672226     
 TE -error=   -108059.089843750        5928827340195.60     
 Volume Error=   7.349765240860506E-002   16.5027577381238     
 TE -error=   -108348.092773438        5928827339906.60     
 Volume Error=   7.423572867537587E-002   16.5034958143906     
 TE -error=   -108648.734375000        5928827339605.96     
 Volume Error=   7.551790304205497E-002   16.5047779887573     
 TE -error=   -108848.755859375        5928827339405.93     
 Volume Error=   7.359801657003118E-002   16.5028581022852     
 TE -error=   -109044.610351562        5928827339210.08     
 Volume Error=   7.403571089525940E-002   16.5032957966105     
 TE -error=   -109234.544921875        5928827339020.14     
 Volume Error=   7.408971214317717E-002   16.5033497978584     
 TE -error=   -109339.883789062        5928827338914.81     
 Volume Error=   7.570974958071020E-002   16.5049698352959     
 TE -error=   -109436.524414062        5928827338818.17     
 Volume Error=   7.357243703154381E-002   16.5028325227468     
 TE -error=   -109533.494140625        5928827338721.20     
 Volume Error=   7.344738151005004E-002   16.5027074672253     
 TE -error=   -109550.729492188        5928827338703.96     
 Volume Error=   7.318874395423336E-002   16.5024488296694     
 TE -error=   -109601.166015625        5928827338653.52     
 Volume Error=   7.406129043374676E-002   16.5033213761490     
 TE -error=   -109615.940429688        5928827338638.75     
 Volume Error=   7.385096978396177E-002   16.5031110554992     
 TE -error=   -109639.873046875        5928827338614.82     
 Volume Error=   7.330527296289802E-002   16.5025653586781     
 TE -error=   -109647.764648438        5928827338606.92     
 Volume Error=   7.346159236476524E-002   16.5027216780800     
 TE -error=   -109659.239257812        5928827338595.45     
 Volume Error=   7.391776080112322E-002   16.5031778465163     
 TE -error=   -109639.128906250        5928827338615.56     
 Volume Error=   7.280718250513019E-002   16.5020672682203     
 TE -error=   -109666.007812500        5928827338588.68     
 Volume Error=   7.352980446739821E-002   16.5027898901826     
 TE -error=   -109655.288085938        5928827338599.40     
 Volume Error=   7.191971462816582E-002   16.5011798003434     
 TE -error=   -109625.027343750        5928827338629.66     
 Volume Error=   7.398455181828467E-002   16.5032446375335     
 TE -error=   -109587.238281250        5928827338667.45     
 Volume Error=   7.435545512635144E-002   16.5036155408416     
